State,Total output emission rates,CH₄,N₂O,CO₂e,Annual NOₓ,Ozone Season NOₓ,SO₂
,lb/MWh,,,,,,
State,CO₂,CH₄,N₂O,CO₂e,Annual NOₓ,Ozone Season NOₓ,SO₂
AK,809.0,0.072,0.010,813.6,6.2,6.6,0.404
AL,711.0,0.045,0.007,714.0,0.2,0.2,0.093
AR,993.4,0.076,0.011,998.4,0.5,0.6,0.857
AZ,746.2,0.041,0.006,748.8,0.3,0.3,0.137
CA,401.2,0.022,0.003,402.5,0.3,0.3,0.013
CO,"1,084.3",0.092,0.013,"1,090.4",0.5,0.5,0.350
CT,538.3,0.040,0.005,540.7,0.2,0.2,0.072
DC,394.1,0.017,0.002,395.0,2.8,2.4,0.027
DE,700.3,0.017,0.002,701.3,0.2,0.3,0.073
FL,805.8,0.041,0.005,808.3,0.3,0.3,0.130
GA,711.4,0.055,0.008,715.0,0.3,0.2,0.199
HI,"1,384.6",0.137,0.022,"1,394.1",4.9,4.7,4.338
IA,630.1,0.060,0.009,634.0,0.4,0.6,0.520
ID,313.3,0.009,0.001,313.9,0.1,0.1,0.049
IL,471.6,0.042,0.006,474.3,0.2,0.2,0.270
IN,"1,457.2",0.126,0.018,"1,465.5",0.8,0.6,0.547
KS,728.1,0.077,0.011,733.2,0.5,0.6,0.113
KY,"1,735.0",0.181,0.026,"1,747.0",1.0,0.8,1.116
LA,788.8,0.027,0.004,790.5,0.7,0.7,0.199
MA,806.5,0.122,0.016,814.1,0.6,0.6,0.273
MD,520.0,0.035,0.005,522.1,0.2,0.2,0.116
ME,311.7,0.076,0.011,316.7,0.3,0.3,0.188
MI,787.9,0.065,0.009,792.1,0.6,0.6,0.436
MN,747.4,0.073,0.010,752.2,0.5,0.5,0.187
MO,"1,441.3",0.157,0.023,"1,451.8",1.1,0.7,2.175
MS,826.3,0.030,0.004,828.3,0.4,0.4,0.123
MT,"1,056.2",0.116,0.017,"1,063.9",0.9,0.8,0.809
NC,623.9,0.038,0.005,626.4,0.4,0.4,0.166
ND,"1,288.4",0.143,0.021,"1,297.9",1.3,1.4,1.603
NE,"1,018.1",0.115,0.017,"1,025.8",1.0,1.1,2.119
NH,272.9,0.054,0.007,276.2,0.1,0.1,0.053
NJ,467.0,0.031,0.004,468.9,0.2,0.2,0.059
NM,769.2,0.053,0.007,772.6,0.4,0.4,0.105
NV,641.2,0.024,0.003,642.7,0.5,0.5,0.137
NY,478.8,0.025,0.003,480.3,0.2,0.2,0.053
OH,"1,063.8",0.068,0.010,"1,068.2",0.3,0.3,0.610
OK,646.7,0.026,0.003,648.3,0.5,0.6,0.221
OR,364.1,0.013,0.002,364.9,0.6,0.6,0.020
PA,643.5,0.034,0.004,645.6,0.2,0.2,0.228
PR,"1,543.0",0.077,0.012,"1,548.4",3.9,4.1,3.695
RI,839.1,0.016,0.002,840.0,0.4,0.4,0.013
SC,553.4,0.048,0.007,556.6,0.2,0.3,0.170
SD,334.0,0.024,0.003,335.6,0.3,0.3,0.076
TN,652.6,0.059,0.008,656.5,0.2,0.3,0.212
TX,772.1,0.045,0.006,775.0,0.5,0.5,0.391
UT,"1,413.0",0.125,0.018,"1,421.2",1.3,1.2,0.275
VA,530.8,0.043,0.006,533.5,0.2,0.2,0.070
VT,43.0,0.147,0.019,52.2,0.2,0.2,0.039
WA,265.1,0.023,0.003,266.6,0.2,0.2,0.044
WI,"1,158.5",0.100,0.014,"1,165.1",0.5,0.5,0.145
WV,"1,953.9",0.218,0.032,"1,968.3",1.1,1.0,1.498
WY,"1,820.3",0.195,0.028,"1,833.3",1.2,1.2,1.113
U.S.,771.5,0.057,0.008,775.2,0.5,0.5,0.361
,,,,,,,