eGRID subregion acronym,eGRID subregion name,Nameplate Capacity (MW),Net Generation (MWh),Generation Resource Mix (percent)*,Oil,Gas,Other Fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geo- thermal,Other unknown/ purchased fuel
eGRID subregion acronym,eGRID subregion name,Nameplate Capacity (MW),Net Generation (MWh),Coal,Oil,Gas,Other Fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geo- thermal,Other unknown/ purchased fuel
AKGD,ASCC Alaska Grid,"2,194","5,100,447",14.3%,9.0%,60.4%,0.0%,0.0%,13.9%,0.8%,1.6%,0.0%,0.0%,0.0%
AKMS,ASCC Miscellaneous,902,"1,585,195",0.0%,24.7%,6.5%,0.0%,0.0%,67.1%,0.0%,1.8%,0.0%,0.0%,0.0%
AZNM,WECC Southwest,"54,243","166,728,433",11.7%,0.0%,45.9%,0.0%,18.9%,2.8%,0.3%,8.1%,8.6%,3.7%,0.0%
CAMX,WECC California,"99,264","216,841,822",2.1%,0.0%,41.1%,0.7%,8.2%,14.7%,2.2%,6.7%,20.5%,3.7%,0.1%
ERCT,ERCOT All,"145,508","474,437,410",12.7%,0.0%,49.3%,0.4%,8.6%,0.1%,0.2%,22.7%,5.9%,0.0%,0.1%
FRCC,FRCC All,"72,774","244,024,972",4.7%,0.5%,74.9%,0.6%,12.3%,0.1%,1.1%,0.0%,5.5%,0.0%,0.4%
HIMS,HICC Miscellaneous,"1,099","2,614,533",0.0%,65.9%,0.0%,0.0%,0.0%,3.6%,4.7%,12.1%,6.4%,7.4%,0.0%
HIOA,HICC Oahu,"2,352","6,547,823",0.0%,83.0%,0.0%,2.7%,0.0%,0.0%,2.5%,4.3%,7.4%,0.0%,0.0%
MROE,MRO East,"9,638","24,438,903",39.6%,0.3%,42.7%,0.0%,0.0%,4.3%,3.0%,5.4%,4.7%,0.0%,0.0%
MROW,MRO West,"77,432","240,962,890",35.2%,0.1%,13.1%,0.2%,7.8%,4.1%,0.7%,37.6%,1.2%,0.0%,0.1%
NEWE,NPCC New England,"39,269","103,105,442",0.2%,0.4%,55.7%,1.5%,22.5%,8.4%,4.3%,3.3%,3.6%,0.0%,0.1%
NWPP,WECC Northwest,"80,128","269,265,835",16.4%,0.2%,24.8%,0.3%,3.1%,38.7%,1.0%,11.6%,3.1%,0.7%,0.1%
NYCW,NPCC NYC/Westchester,"12,790","30,690,409",0.0%,0.5%,98.1%,0.8%,0.0%,0.0%,0.6%,0.0%,0.1%,0.0%,0.0%
NYLI,NPCC Long Island,"5,833","9,823,415",0.0%,1.5%,87.2%,4.8%,0.0%,0.0%,4.0%,0.0%,2.5%,0.0%,0.0%
NYUP,NPCC Upstate NY,"26,425","85,672,139",0.0%,0.1%,25.4%,0.3%,32.1%,33.2%,1.2%,5.6%,2.1%,0.0%,0.0%
PRMS,Puerto Rico Miscellaneous,"6,533","17,502,529",15.2%,39.0%,43.5%,0.0%,0.0%,0.2%,0.0%,0.6%,1.5%,0.0%,0.0%
RFCE,RFC East,"76,473","285,910,488",4.7%,0.1%,53.9%,0.7%,36.2%,1.5%,0.9%,1.0%,1.0%,0.0%,0.0%
RFCM,RFC Michigan,"28,925","92,442,124",25.5%,1.5%,49.4%,1.6%,10.1%,0.5%,1.5%,8.7%,1.3%,0.0%,0.0%
RFCW,RFC West,"141,910","524,411,420",25.0%,0.3%,37.8%,0.7%,28.4%,1.0%,0.3%,5.5%,0.8%,0.0%,0.1%
RMPA,WECC Rockies,"24,806","67,712,670",31.7%,0.1%,26.3%,0.0%,0.0%,10.5%,0.2%,25.8%,5.4%,0.0%,0.1%
SPNO,SPP North,"27,920","73,465,291",31.6%,0.2%,14.0%,0.0%,14.0%,0.1%,0.1%,39.7%,0.2%,0.0%,0.0%
SPSO,SPP South,"58,598","154,693,646",16.6%,0.5%,44.8%,0.2%,0.0%,2.6%,1.3%,33.3%,0.4%,0.0%,0.2%
SRMV,SERC Mississippi Valley,"48,031","176,431,972",8.2%,0.1%,65.2%,1.2%,22.1%,1.3%,1.0%,0.0%,0.7%,0.0%,0.1%
SRMW,SERC Midwest,"31,516","105,521,957",51.0%,0.1%,16.9%,0.1%,16.4%,1.0%,0.1%,12.5%,1.6%,0.0%,0.3%
SRSO,SERC South,"73,017","256,582,130",14.5%,0.1%,55.3%,0.0%,20.3%,2.6%,3.6%,0.0%,3.6%,0.0%,0.0%
SRTV,SERC Tennessee Valley,"59,036","209,881,959",28.1%,0.1%,29.7%,0.0%,32.8%,7.8%,0.7%,0.0%,0.8%,0.0%,0.0%
SRVC,SERC Virginia/Carolina,"96,954","321,205,537",10.5%,0.1%,39.0%,0.2%,39.7%,1.9%,2.1%,0.4%,6.0%,0.0%,0.1%
U.S.,,"1,303,569","4,167,601,391",16.2%,0.6%,42.7%,0.5%,18.6%,5.9%,1.1%,10.1%,4.0%,0.4%,0.1%